"File Name","Collection Name#1","Collection Description#1","Work Type#1","Work Type Vocab#1","Work Type Refid#1","Work Type#2","Work Type Vocab#2","Work Type Refid#2","Work Title#1","Work Title Type#1","Work Agent Name#1","Work Agent Name Vocab#1","Work Agent Name Refid#1","Work Agent Name Type#1","Work Agent Role#1","Work Agent Role Vocab#1","Work Agent Role Refid#1","Work Agent Name#2","Work Agent Name Vocab#2","Work Agent Name Refid#2","Work Agent Name Type#2","Work Agent Role#2","Work Agent Role Vocab#2","Work Agent Role Refid#2","Work Agent Name#3","Work Agent Name Vocab#3","Work Agent Name Refid#3","Work Agent Name Type#3","Work Date#1","Work Date Type#1","Work Date#2","Work Date Type#2","Subject Term#1","Subject Type#1","Subject Vocab#1","Subject Refid#1","Subject Term#2","Subject Type#2","Subject Vocab#2","Subject Refid#2","Subject Term#3","Subject Type#3","Subject Vocab#3","Subject Refid#3","Location Name#1","Location Type#1","Location Refid#1","Location Name#10","Location Type#10","Location Refid#10","Location Name#2","Location Type#2","Location Refid#2","Location Name#3","Location Type#3","Location Refid#3","Location Name#4","Location Type#4","Location Refid#4","Location Name#5","Location Type#5","Location Refid#5","Location Name#6","Location Type#6","Location Refid#6","Location Name#7","Location Type#7","Location Refid#7","Location Name#8","Location Type#8","Location Refid#8","Location Name#9","Location Type#9","Location Refid#9","Repository Location Name#1","Repository Location Type#1","Work Measurements#1","Work Measurement#1","Work Measurement Type#1","Work Measurement Unit#1","Work Measurement#2","Work Measurement Type#2","Work Measurement Unit#2","Technique#1","Technique Vocab#1","Technique Refid#1","Technique#2","Technique Vocab#2","Technique Refid#2","Technique#3","Technique Vocab#3","Technique Refid#3","Inscription Text#1","Inscription Text Type#1","Inscription Position#1","Inscription Text#2","Inscription Text Type#2","Cultural Context#1","Cultural Context Vocab#1","Cultural Context Refid#1","Work Description#1","Work Description#2","Work Description#3","Relation#1","Relation Type#1","Relation Relids#1","Relation href#1","Image Rights#1","Image Title#1","Image Title Type#1","Image Date#1","Image Date Type#1","Image Work Type#1","Image Work Type Vocab#1","Identifier ARK#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"wolff_singlesAsiaAfricaEurope_046.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photographs","aat","http://vocab.getty.edu/page/aat/300046300","","","","""Outrunner"" in costume","descriptive","Fiorillo, Luigi, 1847-1898","naf","http://id.loc.gov/authorities/names/no2020147524","personal","photographers","aat","http://vocab.getty.edu/page/aat/300025687","","","","","","","","","","","","1870/1890","creation","","","","","","","","","","","","","","","Egypt","geographic","http://id.worldcat.org/fast/1208755","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","albumen prints","aat","http://vocab.getty.edu/page/aat/300127121","","","","","","","""Costume of outrunner who runs before your horses when you ride in style. The costume: white jacket embroidered in gold, red fez, & gay colored scarf at waist.""","caption","","""No. 564. Sais, Avant-Coureur. L. Fiorillo, Phot.""","text","","","","Image No. 46. ""Costume of outrunner who runs before your horses when you ride in style"" titled in ink and ""No. 564. Sais, Avant-Coureur. L. Fiorillo, Phot."" titled in plate. 3 7/8 x 5 1/2 photo, mounted. c. 1875.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: Wolff_AsiaAfricaEurope_singles_046.jpg","","Asia, Africa, and Europe album","partOf","wolff_asiaAfricaEurope","http://cudl.colorado.edu/luna/servlet/s/cckl62","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","""Outrunner"" in costume","generalView","","","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/6r5p9v70099s","1093172","202","Wolff_AsiaAfricaEurope_singles_046.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1093172~133026"
"nspc_wolff_civilWarCarte_010a.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","http://vocab.getty.edu/page/aat/300127141","","","","Abraham Lincoln","repository","Brady's National Photographic Portrait Galleries","naf","http://id.loc.gov/authorities/names/n85307564","corporate","","","","Anthony, E.","","local","corporate","","","","McAllister & Brother","naf","http://id.loc.gov/authorities/names/nr93018149","corporate","1860/1862","creation","","","United States--History--Civil War, 1861-1865","conceptTopic","lcsh","http://id.loc.gov/authorities/subjects/sh85140205","","","","","","","","","New York (State)","creation","http://id.worldcat.org/fast/1210280","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","http://vocab.getty.edu/page/aat/300133274","","","","","","","5. Pres. Lincoln","text","album index","","","American (North American)","aat","http://vocab.getty.edu/page/aat/300107956","Published by E. Anthony from photographic negative from Brady's National Portrait Gallery. Also imprint of McAllister & Brother, Phila.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: nspc_wolff_singlesCivilWarCarte_05.jpg","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Abraham Lincoln","generalView","2013-07-31","creation","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/0m746x06r0fj","1087136","202","nspc_wolff_singlesCivilWarCarte_05.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087136~140723"
"nspc_wolff_civilWarCarte_035a.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","http://vocab.getty.edu/page/aat/300127141","","","","Abraham Lincoln","repository","Brady's National Photographic Portrait Galleries","naf","http://id.loc.gov/authorities/names/n85307564","corporate","","","","E. & H.T. Anthony (Firm)","naf","http://id.loc.gov/authorities/names/n79021575","corporate","","","","","","","","1861/1863","creation","","","United States--History--Civil War, 1861-1865","conceptTopic","lcsh","http://id.loc.gov/authorities/subjects/sh85140205","","","","","","","","","New York (State)","creation","http://id.worldcat.org/fast/1210280","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","http://vocab.getty.edu/page/aat/300133274","","","","","","","63. President Lincoln","text","album index","","","American (North American)","aat","http://vocab.getty.edu/page/aat/300107956","Published by E. & H. T. Anthony from photographic negative from Brady's National Portrait Gallery.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: nspc_wolff_singlesCivilWarCarte_55.jpg","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Abraham Lincoln","generalView","2013-07-31","creation","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/909f3853q5kv","1088186","202","nspc_wolff_singlesCivilWarCarte_55.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1088186~140773"
"nspc_wolff_civilWarCarte_018b.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","http://vocab.getty.edu/page/aat/300127141","","","","Admiral Dalgreen","repository","Charles D. Fredricks & Co.","naf","http://id.loc.gov/authorities/names/no2009002447","corporate","","","","","","","","","","","","","","","1860/1862","creation","","","United States--History--Civil War, 1861-1865","conceptTopic","lcsh","http://id.loc.gov/authorities/subjects/sh85140205","","","","","","","","","New York (State)","creation","http://id.worldcat.org/fast/1210280","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","http://vocab.getty.edu/page/aat/300133274","","","","","","","22. Ad. Dahlgren","text","album index","","","American (North American)","aat","http://vocab.getty.edu/page/aat/300107956","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: nspc_wolff_singlesCivilWarCarte_22.jpg","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Admiral Dalgreen","generalView","2013-07-31","creation","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/dd8m8083879x","1087493","202","nspc_wolff_singlesCivilWarCarte_22.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1087493~140740"
"wolff_singlesAsiaAfricaEurope_088.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photographs","aat","http://vocab.getty.edu/page/aat/300046300","","","","Adoration of the Magi","descriptive","","","","","","","","","","","","","","","","","","","1870/1890","creation","","","","","","","","","","","","","","","Italy--Venice","geographic","http://id.worldcat.org/fast/1204473","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","albumen prints","aat","http://vocab.getty.edu/page/aat/300127121","","","","","","","""No.136. Bonifacio. Adorazione dei Re Magi, Venezia.""","caption","","","","","","","Image No. 88. ""Plate No.136. Bonifacio. Adorazione dei Re Mage, Venezia"". 5 1/4 x 3 1/4 photo, mounted. c. 1875.","Adoration of the Magi.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: Wolff_AsiaAfricaEurope_singles_088.jpg","Asia, Africa, and Europe album","partOf","wolff_asiaAfricaEurope","http://cudl.colorado.edu/luna/servlet/s/cckl62","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Adoration of the Magi","generalView","","","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/wk8w5r62q0z1","1093797","202","Wolff_AsiaAfricaEurope_singles_088.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1093797~133068"
"nspc_wolff_adria.pdf","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photograph albums","aat","http://vocab.getty.edu/page/aat/300026695","","","","Adria","cited","","","","","","","","","","","","","","","","","","","1936-05","exhibition","","","","","","","","","","","","","","","Croatia","geographic","http://id.worldcat.org/fast/1212674","","","","Montenegro","geographic","http://id.worldcat.org/fast/1692600","Caffaro (river)","geographic","local","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","gelatin silver prints","aat","http://vocab.getty.edu/page/aat/300128695","","","","","","","","","","","","","","","Hand decorated wrappers. Titled ""Adria, May 1936"". 33, mostly 10 1/2 x 7 photos (many Blue and Sepia Toned images). Many Ragusa.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: wolff_adria.jpg","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","Adria","generalView","","","","","https://ark.colorado.edu/ark:/47540/g35b3486h6b3","526715","202","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-74-NA/1689/0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~526715~132974"
"nspc_wolff_africa.pdf","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photograph albums","aat","http://vocab.getty.edu/page/aat/300026695","","","","Africa","cited","","","","","","","","","","","","","","","","","","","1932","exhibition","","","","","","","","","","","","","","","Morocco","geographic","http://id.worldcat.org/fast/1205592","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","gelatin silver prints","aat","http://vocab.getty.edu/page/aat/300128695","","","","","","","","","","","","","","","Photos of Tetuan and Tangier. 16, approx. 7 1/2 x 9 1/2 + 7 smaller. Typed captions. All processed in Mexico. Some stamped ""Foto Lipkau"" and ""La Ansco"". 2 are in an all Blue Silverprint process.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: wolff_africa.jpg","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","Africa","generalView","","","","","https://ark.colorado.edu/ark:/47540/9p770769d04f","526726","202","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-74-NA/1690/0001.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~526726~132975"
"nspc_wolff_YWCA.pdf","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photograph albums","aat","http://vocab.getty.edu/page/aat/300026695","","","","African-American Girl Reserves Retreat","owner","","","","","","","","","","","","","","","","","","","1932-07-05","creation","","","Young Women's Christian associations","corporateName","lcsh","http://id.loc.gov/authorities/subjects/sh85149301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","gelatin silver process","aat","http://vocab.getty.edu/page/aat/300139114","","","","","","","","","","","","","","","Retreat for African-American Girl Reserves, part of the Young Women's Christian Association, held at King's Mountain on July 5, 1923. 11 x 7 1/4 inch album. 122 snapshots with written captions identifying people, functions, and activities.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: nspc_wolff_Girl'sReserveCampaignYWCA.jpg","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","African-American Girl Reserves Retreat","generalView","2015","","","","https://ark.colorado.edu/ark:/47540/1t6h2n948372","1100882","202","nspc_wolff_YWCA.pdf","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1100882~297473"
"wolff_singlesAsiaAfricaEurope_004.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photographs","aat","http://vocab.getty.edu/page/aat/300046300","","","","Aftermath of 28 Oct. 1891 earthquake","descriptive","","","","","","","","","","","","","","","","","","","1897","creation","","","","","","","","","","","","","","","Akagi-mura (Japan)","geographic","http://id.loc.gov/authorities/names/n81149913","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","gelatin silver prints","aat","http://vocab.getty.edu/page/aat/300128695","","","","","","","""Ogaki. 2,000 People Killed""","caption","","","","","","","Image No. 4. ""Ogaki. 2,000 People Killed"". Titled in ink. 10 3/8 x 8 1/4 sepia photo, mounted. Shows leveled houses and people. 1897.","Aftermath of 28 Oct. 1891 earthquake","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: Wolff_AsiaAfricaEurope_singles_004.jpg","Asia, Africa, and Europe album","partOf","wolff_asiaAfricaEurope","http://cudl.colorado.edu/luna/servlet/s/cckl62","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Aftermath of 28 Oct. 1891 earthquake","generalView","","","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/260b7t23q4vx","1092530","202","Wolff_AsiaAfricaEurope_singles_004.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1092530~132984"
"nspc_wolff_singlesBourneIndia015.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photographs","aat","http://vocab.getty.edu/page/aat/300046300","","","","Agra - Akbar Palace - Exterior of [Lenana]","","Bourne, Samuel, 1834-1912","fast","http://id.worldcat.org/fast/154860","personal","photographers","aat","http://vocab.getty.edu/page/aat/300025687","","","","","","","","","","","","[1860/1870]","creation","","","Palaces","conceptTopic","fast","http://id.worldcat.org/fast/1051243","Architecture","conceptTopic","fast","http://id.worldcat.org/fast/813346","Portraits","conceptTopic","fast","http://id.worldcat.org/fast/1072324","India","creation","http://id.worldcat.org/fast/1210276","","","","India--Agra","creation","http://id.worldcat.org/fast/1202824","India--Uttar Pradesh","creation","http://id.worldcat.org/fast/1210277","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","albumen process","aat","http://vocab.getty.edu/page/aat/300133274","","","","","","","Agra - Akbar Palace - Exterior of [Lenana].","","","","","Indian (South Asian)","aat","http://vocab.getty.edu/page/aat/300018863","Exterior view of the Palace of Akbar in Agra, India. A man stands on the balcony.","","","Bourne India Album","partOf","nspc_wolff_bourneIndia.pdf","https://ark.colorado.edu/ark:/47540/0r591n9309n7","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Agra - Akbar Palace - Exterior of [Lenana]","generalView","","","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/jq369t38j7d2","1101032","4910","nspc_wolff_singlesBourneIndia015.tif","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1101032~297389"
"nspc_wolff_singlesBourneIndia010.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photographs","aat","http://vocab.getty.edu/page/aat/300046300","","","","An Indian compound, banyan tree and bungalow","","Bourne, Samuel, 1834-1912","fast","http://id.worldcat.org/fast/154860","personal","photographers","aat","http://vocab.getty.edu/page/aat/300025687","","","","","","","","","","","","[1860/1870]","creation","","","Bungalows","conceptTopic","fast","http://id.worldcat.org/fast/841609","Portraits","conceptTopic","fast","http://id.worldcat.org/fast/1072324","Children","conceptTopic","fast","http://id.worldcat.org/fast/854835","India","creation","http://id.worldcat.org/fast/1210276","","","","India--Agra","creation","http://id.worldcat.org/fast/1202824","India--Uttar Pradesh","creation","http://id.worldcat.org/fast/1210277","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","albumen process","aat","http://vocab.getty.edu/page/aat/300133274","","","","","","","An Indian compound, Banyan tree and Bungalow.","","","","","Indian (South Asian)","aat","http://vocab.getty.edu/page/aat/300018863","Exterior view of two children standing under a large banyan tree outside a bungalow on a compound in India.","","","Bourne India Album","partOf","nspc_wolff_bourneIndia.pdf","https://ark.colorado.edu/ark:/47540/0r591n9309n7","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","An Indian compound, banyan tree and bungalow","generalView","","","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/b2247619p315","1101027","4910","nspc_wolff_singlesBourneIndia010.tif","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1101027~297394"
"wolff_singlesAsiaAfricaEurope_075.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","photographs","aat","http://vocab.getty.edu/page/aat/300046300","","","","Ancient walls, possibly Istanbul","descriptive","","","","","","","","","","","","","","","","","","","1870/1890","creation","","","","","","","","","","","","","","","Turkey","geographic","http://id.worldcat.org/fast/1208963","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","","","","","","","","albumen prints","aat","http://vocab.getty.edu/page/aat/300127121","","","","","","","""Walls built by Constantine.""","caption","","","","","","","Image No. 75. ""Walls built by Constantine"". Titled in ink. 4 x 4 1/2 photo, mounted. c. 1875.","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: Wolff_AsiaAfricaEurope_singles_075.jpg","","Asia, Africa, and Europe album","partOf","wolff_asiaAfricaEurope","http://cudl.colorado.edu/luna/servlet/s/cckl62","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Ancient walls, possibly Istanbul","generalView","","","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/wv7w5g42515h","1093607","202","Wolff_AsiaAfricaEurope_singles_075.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1093607~133055"
"nspc_wolff_civilWarCarte_035b.tif","Ira Wolff Photographic History Collection","The Ira Wolff Photographic History Collection consists of approximately 7,000 original photographs and 7,000 publications, largely from the nineteenth and early-twentieth centuries. As a whole, the collection traces the invention of photography, the scientific and technical components of its development, the history of photomechanical printing, vernacular photographic practices, and the medium's role in social and cultural documentation. The digitized portion of the collection focuses exclusively on private photographic albums ranging from cartes-de-visite albums to travel albums.","cartes-de-visite (card photographs)","aat","http://vocab.getty.edu/page/aat/300127141","","","","Andrew Johnson","repository","Philadelphia photographic Co.","","local","corporate","","","","","","","","","","","","","","","1860/1862","creation","","","United States--History--Civil War, 1861-1865","conceptTopic","lcsh","http://id.loc.gov/authorities/subjects/sh85140205","","","","","","","","","Pennsylvania--Philadelphia","creation","http://id.worldcat.org/fast/1204170","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado Boulder Special Collections Department","corporate","3.25 in. (H) x 2.25 in. (W)","3.25","height","inches","2.25","width","inches","albumen process","aat","http://vocab.getty.edu/page/aat/300133274","","","","","","","64. Johnson","text","album index","","","American (North American)","aat","http://vocab.getty.edu/page/aat/300107956","Legacy file ID changed to match file names with extension on 2021-07-01. Original ID was: nspc_wolff_singlesCivilWarCarte_56.jpg","","","Civil War Carte-de-Visite Album","partOf","nspc_wolff_civilWarCarte","http://cudl.colorado.edu/luna/servlet/s/pk1580","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","Andrew Johnson","generalView","2013-07-31","creation","digital images","http://vocab.getty.edu/page/aat/300215302","https://ark.colorado.edu/ark:/47540/6r5w9p20v2fz","1088208","202","nspc_wolff_singlesCivilWarCarte_56.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~74~74~1088208~140774"
